what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1283606632405
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1283606632405
java.specification.name,sysinfo,,,"Java Platform API Specification",1283606632405
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283606632405
java.specification.version,sysinfo,,,"1.6",1283606632405
java.vendor,sysinfo,,,"Apple Inc.",1283606632405
java.version,sysinfo,,,"1.6.0_20",1283606632405
java.vm.info,sysinfo,,,"mixed mode",1283606632405
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1283606632405
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1283606632405
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1283606632405
java.vm.specification.version,sysinfo,,,"1.0",1283606632405
java.vm.vendor,sysinfo,,,"Apple Inc.",1283606632405
java.vm.version,sysinfo,,,"16.3-b01-279",1283606632405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283606672121
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283606676965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283606993358
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1283606993381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1283606993381
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283606995820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283606996794
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283606996879
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1283606997357
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1283606997357
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1283606997358
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1283606997358
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1283606997359
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1283606997359
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1283606997360
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1283606997360
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1283606997361
